,ct_0,ct_1,ct_2,ct_3,ct_4
0,0.664665050965304,0.335334949034696,0.0,0.0,0.0
1,0.607358319240272,0.392641680759728,0.0,0.0,0.0
2,0.074987860535295,0.308341058091347,0.496950785634103,0.0,0.119720295739255
3,0.0,0.825744531542325,0.174255468457675,0.0,0.0
4,0.0,0.462847930279142,0.245339991314067,0.0,0.291812078406791
5,0.444692970939956,0.0,0.384847653919952,0.170459375140092,0.0
6,0.0,0.252796011384804,0.640669038212356,0.106534950402841,0.0
7,0.266314799882727,0.244629837536168,0.489055362581106,0.0,0.0
8,0.356743620598499,0.188410470909103,0.454845908492398,0.0,0.0
9,0.0,0.841684639323911,0.0,0.0,0.158315360676089
10,0.629330962066396,0.0,0.0,0.370669037933604,0.0
11,0.809777797540042,0.0,0.190222202459958,0.0,0.0
12,0.0,0.71357999066571,0.28642000933429,0.0,0.0
13,0.478986441142215,0.521013558857785,0.0,0.0,0.0
14,0.0589259720131649,0.113999329287519,0.827074698699316,0.0,0.0
15,0.0838576433167676,0.527578183211088,0.388564173472144,0.0,0.0
16,0.171233866987832,0.303375819743363,0.382990586683198,0.142399726585607,0.0
17,0.0765506973225205,0.0,0.544080816064368,0.3157641351939,0.063604351419211
18,0.102058440063043,0.203423669750135,0.465647662505803,0.22887022768102,0.0
19,0.217511032914969,0.158139727044825,0.624349240040206,0.0,0.0
20,0.259646291213626,0.065909300430218,0.453253768052201,0.221190640303954,0.0
21,0.150886159412506,0.515752491714791,0.333361348872702,0.0,0.0
22,0.183009803583082,0.357875516046149,0.459114680370768,0.0,0.0
23,0.0,0.373684878301841,0.229856798577021,0.206260837971392,0.190197485149746
24,0.271936586809359,0.654697911364289,0.0733655018263522,0.0,0.0
25,0.0,0.203368087080767,0.3925698285093,0.344974318235045,0.059087766174888
26,0.583505223155785,0.206420892913757,0.0762251958761246,0.133848688054333,0.0
27,0.0,0.741625173704792,0.0,0.084235166235434,0.174139660059774
28,0.45346678089513,0.438267363282486,0.108265855822385,0.0,0.0
29,0.303340013291044,0.0,0.611340040564337,0.085319946144619,0.0
30,0.344385641946383,0.237427279804175,0.309524933859063,0.108662144390379,0.0
31,0.0639644741631322,0.346113457237488,0.58992206859938,0.0,0.0
32,0.31270205907237,0.176328219598819,0.510969721328811,0.0,0.0
33,0.0987548856867267,0.0874169660368528,0.508818241377873,0.0690869423895018,0.235922964509046
34,0.204901291658057,0.0,0.652854100147532,0.0842481803997116,0.0579964277946997
35,0.0,0.071676091270698,0.877238615925996,0.0510852928033062,0.0
36,0.0,0.233921012339939,0.63504573201672,0.131033255643342,0.0
37,0.11235414025387,0.229074043081087,0.658571816665043,0.0,0.0
38,0.416539373797149,0.273324977992991,0.0,0.215451164102799,0.0946844841070613
39,0.163488963514239,0.281073920796659,0.400966629578043,0.154470486111059,0.0
40,0.0,0.346632293184926,0.653367706815074,0.0,0.0
41,0.0,0.212930493544437,0.787069506455563,0.0,0.0
42,0.0,0.408466479644602,0.591533520355398,0.0,0.0
43,0.0,0.0,1.0,0.0,0.0
44,0.0,0.776857478972291,0.0,0.223142521027709,0.0
45,0.0931390670768834,0.580503146203778,0.326357786719339,0.0,0.0
46,0.107934509853553,0.537347127749218,0.178657422504727,0.176060939892501,0.0
47,0.397071293439542,0.370153872971336,0.232774833589122,0.0,0.0
48,0.407270335977467,0.444066036516389,0.0917751013218117,0.0,0.0568885261843321
49,0.0,0.28219983271525,0.551194559483291,0.166605607801458,0.0
50,0.0931062084877222,0.493054449410603,0.413839342101675,0.0,0.0
51,0.13177401072958,0.33639029899521,0.385726213069646,0.146109477205563,0.0
52,0.294893873896495,0.237346608242942,0.233760259939924,0.0740335819703831,0.159965675950257
53,0.134275173799138,0.0872280304929017,0.129234127443869,0.162163647921292,0.487099020342799
54,0.295730191464136,0.389754984468089,0.24765266928844,0.0668621547793351,0.0
55,0.391573956572099,0.196062931932272,0.304236434202017,0.108126677293612,0.0
56,0.0,0.478258647762112,0.521741352237888,0.0,0.0
57,0.332339101576681,0.255002467077354,0.324656787103994,0.0880016442419722,0.0
58,0.0,0.401834062690672,0.512168287729221,0.0859976495801067,0.0
59,0.101024164571169,0.0,0.898975835428832,0.0,0.0
60,0.187510219005381,0.263175949385183,0.484984338101162,0.0643294935082741,0.0
61,0.27152150501792,0.381503607603009,0.098977151204435,0.0,0.247997736174636
62,0.495326321081682,0.287376352313034,0.217297326605285,0.0,0.0
63,0.420536685468659,0.12716948340472,0.338686246712446,0.0,0.113607584414175
64,0.0,0.434172227388426,0.565827772611574,0.0,0.0
65,0.139633252729489,0.564672025052954,0.295694722217556,0.0,0.0
66,0.0711558118804498,0.600581154811919,0.328263033307631,0.0,0.0
67,0.606841219821822,0.393158780178178,0.0,0.0,0.0
68,0.406310501258831,0.593689498741169,0.0,0.0,0.0
69,0.187625689872134,0.634708616872032,0.177665693255834,0.0,0.0
70,0.557203649870658,0.0772410385265604,0.365555311602782,0.0,0.0
71,0.382766875664573,0.233932487879743,0.383300636455684,0.0,0.0
