,ct_0,ct_1,ct_2,ct_3,ct_4,ct_5,ct_6,ct_7,ct_8,ct_9,ct_10,ct_11,ct_12,ct_13,ct_14,ct_15,ct_16,ct_17,ct_18,ct_19,ct_20,ct_21,ct_22,ct_23,ct_24,ct_25,ct_26,ct_27,ct_28,ct_29,ct_30,ct_31,ct_32,ct_33,ct_34
0,0.0,0.0,0.0,0.0,0.0,0.196658788073869,0.0,0.0,0.0,0.110354899585007,0.0,0.0,0.0,0.0,0.342320042899564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273800621833718,0.0,0.0768656476078427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.156296247688441,0.0,0.0,0.0,0.0,0.0,0.0662902934592356,0.328750480747417,0.0,0.0,0.192213731417209,0.0,0.0873210821074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169128164580275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.144175125939906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164182013032447,0.0,0.295929467060582,0.0731645868456786,0.0,0.0657096349254194,0.106035374788776,0.0,0.0,0.0633524878765507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0874513095306404
3,0.0,0.0,0.3167543602088,0.0,0.184847508774429,0.287782027613526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112483624592582,0.0,0.0,0.0,0.0981324788106628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.236827213021171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0850145244230704,0.0598565056479886,0.0,0.0,0.0559541268272445,0.0,0.0,0.152096408579563,0.0,0.0,0.0,0.167831361777277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242419859723685
5,0.0,0.0,0.0,0.0,0.0,0.0,0.104998772057357,0.118491496279319,0.116169248769644,0.301447384457671,0.0,0.0,0.0,0.0648789724391218,0.0,0.0625080214649553,0.0,0.0,0.0,0.0,0.0,0.0960704067945028,0.0,0.135435697737429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.11578338268889,0.0748937901762712,0.0,0.0,0.110332302187801,0.0,0.22227930817181,0.0,0.0,0.0,0.0,0.103527185854061,0.0,0.0,0.0,0.0,0.0872005041905064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21601399996822,0.0699695267624404,0.0,0.0,0.0,0.0
7,0.0,0.0,0.304815914685239,0.0,0.0,0.0,0.0,0.0,0.0,0.216938462930336,0.0,0.153580007711929,0.0841393675398016,0.0,0.0,0.240526247132695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0751383081650071,0.0,0.0,0.0,0.0821338711878274,0.0,0.26269780917023,0.0,0.0,0.241935790419247,0.0,0.141324446287678,0.0,0.0,0.0,0.0,0.0,0.0,0.19676977477001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.155797942073439,0.0,0.0851792527488486,0.416955485080393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102303933502598,0.0,0.0,0.0,0.0,0.0,0.0829700856104383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156793300984282
10,0.0,0.0,0.0,0.0,0.0,0.0,0.223963179985999,0.0,0.0,0.11189870315309,0.0,0.0,0.0,0.0,0.0838821826877476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350211404664487,0.0,0.0749089802676027,0.0,0.0,0.0,0.0,0.0,0.155135549241073,0.0,0.0,0.0,0.0
11,0.0,0.182279550993867,0.0,0.0,0.0,0.0,0.0,0.50214967576629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0622912539241801,0.0,0.0,0.0,0.0,0.253279519315662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.457107628305989,0.0,0.0,0.0,0.0,0.263972847167233,0.0,0.0,0.0,0.0,0.0,0.0,0.209037254753424,0.0,0.0,0.0,0.0,0.0,0.0698822697733535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0731045910034453,0.0,0.269499431339551,0.0,0.0,0.0,0.0,0.0,0.0,0.286109373680969,0.0,0.0,0.0,0.0,0.106754032234322,0.0,0.0,0.0,0.0,0.0,0.0,0.074956178459504,0.0660513411910884,0.0,0.0,0.0,0.0,0.0,0.0,0.123525052091121,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181579273707484,0.0,0.0,0.0,0.29457707428789,0.0922901824356701,0.154403279767764,0.191790487867377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085359701933815,0.0,0.0,0.0,0.0
15,0.0,0.0,0.499721049622646,0.0,0.0,0.0,0.0,0.0,0.0,0.14425592242354,0.0868048644113511,0.0,0.269218163542463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0840325189462417,0.0,0.0,0.0,0.115383225109453,0.11089866255541,0.126355133172895,0.0,0.0,0.0,0.278006973573596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0937810346829925,0.0,0.111599029955079,0.0,0.0799434220043324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.185041011398303,0.21350412254277,0.0,0.0,0.0996618607417051,0.0,0.0769019042615273,0.0,0.171021854349708,0.174140574081461,0.0,0.0,0.0,0.0,0.0,0.0797286726245252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.218239340796062,0.0,0.0,0.0,0.0,0.0,0.278703704184575,0.0,0.185532316888937,0.0,0.0,0.0,0.0837329840348268,0.0,0.0,0.233791654095599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137346964084855,0.121377733335103,0.0,0.0,0.29276274787522,0.0,0.0,0.0,0.0,0.0,0.070893127786614,0.0,0.154192394910311,0.0657295011846511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157697530823246,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.144286405743217,0.0,0.0,0.0921542524912486,0.0,0.0,0.0,0.154729186831708,0.254496871467896,0.15473447608237,0.0,0.0,0.0985053454885185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101093461895041,0.0,0.0,0.0
