,ct_0,ct_1,ct_2,ct_3,ct_4,ct_5,ct_6,ct_7,ct_8,ct_9,ct_10,ct_11,ct_12,ct_13,ct_14,ct_15,ct_16,ct_17,ct_18,ct_19,ct_20,ct_21,ct_22,ct_23,ct_24,ct_25,ct_26,ct_27,ct_28,ct_29,ct_30,ct_31,ct_32,ct_33,ct_34
0,0.139660434664951,0.0,0.0,0.0,0.0,0.107592664882317,0.0,0.0,0.0,0.0579916436321586,0.0,0.0,0.0,0.0,0.333857325936269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360897930884306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.212215574776176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0725510716607359,0.100387452105483,0.0,0.0,0.122762136195587,0.0,0.0,0.0,0.27681942506898,0.0,0.0,0.215264340193039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.182343485989016,0.0,0.0,0.0,0.0,0.148769478679418,0.0,0.0792373205375235,0.0,0.0,0.126381944027631,0.0,0.0,0.0763795318693851,0.0,0.213859360033873,0.0,0.0,0.0732926604014755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0997362184616779,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0561861620372575,0.0,0.211703715515866,0.216611716111057,0.0,0.0,0.337015144255655,0.0,0.0,0.0,0.0,0.07657090398624,0.0,0.0,0.0,0.0,0.101912358093924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.293757441687667,0.106352612812392,0.185670657356405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178008625436438,0.236210662707099,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14625171686079,0.0,0.0,0.0,0.0,0.125122982881598,0.0,0.0,0.108846400479916,0.0,0.0848146472350411,0.0,0.0961691419486509,0.0,0.0,0.26015251104972,0.0,0.178642599544284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.117793596895722,0.0,0.0,0.123790853909763,0.164259981315608,0.0,0.0,0.0,0.0,0.0,0.0804057491746709,0.106602873592499,0.0,0.0,0.235144687012764,0.0,0.0,0.106550909822641,0.0,0.0,0.0,0.0,0.0,0.0654513482763323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.29590539753898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0773649590808839,0.162809073287595,0.0,0.0,0.0,0.215125950839284,0.0,0.0,0.0,0.0,0.0,0.0,0.172082466224192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0767121530290648,0.0,0.0,0.0,0.0
8,0.0,0.0,0.233378966149282,0.0,0.0,0.0,0.0,0.226870115658821,0.0,0.0,0.0,0.0,0.0,0.0,0.137822599447789,0.137509324268122,0.0,0.0,0.0,0.0,0.0,0.0,0.264418994475986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.193808177997861,0.0,0.0,0.0,0.0933888061226138,0.332998644742,0.0,0.0,0.100078959364237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632946745599027,0.0,0.097416996506155,0.119013740707231,0.0,0.0,0.0,0.0,0.0,0.0
