,ct_0,ct_1,ct_2,ct_3,ct_4,ct_5,ct_6,ct_7,ct_8,ct_9,ct_10,ct_11,ct_12,ct_13,ct_14,ct_15,ct_16,ct_17,ct_18,ct_19,ct_20,ct_21,ct_22,ct_23,ct_24
0,0.0,0.0,0.0,0.360472153213766,0.0,0.0,0.2253460084391,0.0,0.0,0.0,0.24148349509971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172698343247425,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0791899206813233,0.0,0.186236962667613,0.0,0.195116684778921,0.0,0.0,0.30829037528524,0.0,0.0,0.0,0.0,0.0,0.114262213500121,0.0,0.0,0.116903843086781,0.0,0.0,0.0,0.0,0.0
2,0.150058189275592,0.0,0.0745623350920039,0.0,0.0,0.171626012099864,0.0,0.0,0.0,0.0,0.0,0.0,0.256770082136556,0.270560077059578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0764233043364063,0.0,0.0,0.0
3,0.0548372427159023,0.0,0.0,0.0607001366619952,0.248106726731478,0.211503801567606,0.424852092323019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.251275717404593,0.0,0.0,0.0,0.0,0.215604628599454,0.0,0.0,0.0842830052645725,0.0,0.0,0.0,0.0979791400382456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249778255307764,0.101079253385371,0.0,0.0
5,0.0,0.0,0.251195463116033,0.0,0.0,0.0,0.0,0.174915713337549,0.0,0.115942307708723,0.368333927706344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896125881313517
6,0.159787377590269,0.0556788210458423,0.150663856170402,0.0813357057359948,0.0996729201357316,0.0,0.151890723847375,0.106755464263791,0.0,0.0,0.0,0.134612185642963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596029455676317,0.0
7,0.0,0.0,0.0,0.0,0.0,0.279979055122997,0.0,0.0,0.0,0.0,0.226997589673043,0.0,0.222188690322266,0.0778793295542624,0.192955335327432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.225012651974338,0.133277076359989,0.0,0.0622323658196907,0.0,0.227762797750719,0.0585165698441196,0.0,0.236254963483214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569435747679298,0.0
9,0.0602634114546025,0.0,0.0,0.0,0.101097711562614,0.156653793081133,0.370427648228373,0.0,0.0,0.0,0.0,0.0,0.0,0.0622616530083155,0.0,0.0,0.0671143400385323,0.0,0.0,0.0,0.0,0.116367084209477,0.065814358416953,0.0,0.0
10,0.0,0.0,0.0,0.0839860906575114,0.0,0.0,0.0,0.0,0.0,0.223655123651608,0.137851935065125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345580872793677,0.0,0.0,0.0543631638102018,0.154562814021876,0.0
11,0.310897365192719,0.117644884812284,0.249476099087588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32198165090741,0.0,0.0,0.0,0.0,0.0
12,0.0853184495151068,0.0,0.1975068843878,0.222970001403871,0.0,0.494204664693222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0990049629831676,0.0,0.0615843408771001,0.101577237696812,0.0648392318721494,0.313035352834901,0.0,0.0,0.0,0.0,0.295047808401119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649110653347508,0.0,0.0,0.0,0.0,0.0
