,ct_0,ct_1,ct_2,ct_3,ct_4,ct_5,ct_6,ct_7,ct_8,ct_9,ct_10,ct_11,ct_12,ct_13,ct_14
0,0.214682329205481,0.355131706497807,0.0665086048876618,0.0,0.0,0.0,0.0,0.0,0.0,0.36367735940905,0.0,0.0,0.0,0.0,0.0
1,0.0695578041414985,0.0937278341627193,0.221856483607916,0.0840831716598219,0.0,0.0987411778904214,0.0,0.0,0.0,0.432033528537623,0.0,0.0,0.0,0.0,0.0
2,0.278919825235162,0.0,0.0664908908013439,0.193161622215029,0.0,0.204215543225831,0.0,0.0587976312391872,0.0913600323270848,0.0,0.0,0.0,0.107054454956362,0.0,0.0
3,0.189261299212916,0.0633060555013867,0.421455880380247,0.0602171376362687,0.0,0.0,0.0,0.265759627269181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.264782367336024,0.0845552929398267,0.156187206885553,0.0,0.0,0.087497357593395,0.0,0.0,0.137436297747177,0.0,0.0,0.0,0.269541477498025,0.0,0.0
5,0.0,0.0694223111732063,0.0,0.284357992947972,0.136781078518378,0.0883976926588678,0.0,0.0,0.0,0.306992757722384,0.114048166979191,0.0,0.0,0.0,0.0
6,0.256499656532157,0.120440256520257,0.0,0.342685028460154,0.0610824652197012,0.0,0.0,0.137943247359474,0.0,0.0,0.0,0.0,0.0,0.0813493459082569,0.0
7,0.0,0.0,0.32379732335136,0.0,0.0,0.258016541932032,0.0,0.0,0.0,0.239238914710625,0.178947220005982,0.0,0.0,0.0,0.0
8,0.0,0.14643034558311,0.104693855761822,0.327706780791731,0.0,0.120834106430915,0.0,0.0,0.0,0.226500082056525,0.0,0.0,0.0,0.0738348293758971,0.0
9,0.320594738082956,0.0,0.33507335676599,0.0,0.0,0.0,0.0,0.113292108499928,0.0998581549143285,0.0,0.0,0.0,0.131181641736798,0.0,0.0
10,0.0,0.0864558602860011,0.0,0.0,0.253637538394502,0.0,0.0634536081755583,0.0,0.055508000259645,0.374479380980357,0.0,0.0,0.0,0.166465611903937,0.0
11,0.218293083752353,0.0,0.0,0.0,0.0,0.0,0.669541720133745,0.0,0.0,0.112165196113902,0.0,0.0,0.0,0.0,0.0
12,0.0,0.287030430935506,0.464868972813764,0.24810059625073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.111061048661232,0.12582686639419,0.248373645012934,0.103862298401987,0.0,0.0,0.0,0.0789275155018571,0.0,0.331948626027799,0.0,0.0,0.0,0.0,0.0
14,0.0806902395738527,0.182347868834741,0.209974560768591,0.0779695753048667,0.0,0.364195233167959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848225223499894,0.0
15,0.0,0.075432291469085,0.502274628241452,0.064209575515182,0.0,0.151940323426571,0.0,0.0,0.0,0.113132154110448,0.0930110272372614,0.0,0.0,0.0,0.0
16,0.0572051202708521,0.0,0.258833655135854,0.0,0.118080811820119,0.237092189453747,0.209152722680743,0.0,0.0547603731136291,0.0648751275250555,0.0,0.0,0.0,0.0,0.0
17,0.0,0.21134150037045,0.0,0.161621793560875,0.238476808001263,0.267147716022087,0.121412182045325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0638178546831969,0.138840439853202,0.139846617551944,0.185130993267185,0.172334284917726,0.123723303555155,0.0,0.0,0.0,0.0546357248012445,0.064364485626979,0.0,0.0,0.0573062957433673,0.0
19,0.0,0.0733702196813423,0.236207238189572,0.0747761777702987,0.0,0.27736729041137,0.0,0.0,0.0,0.163137733701033,0.0,0.0,0.0,0.175141340246384,0.0
20,0.0,0.231751623179686,0.0577281126614627,0.0,0.152993414606365,0.170453371803677,0.0,0.0733149086646269,0.101450023206026,0.117924737530645,0.0943838083475115,0.0,0.0,0.0,0.0
21,0.107477489716612,0.0825377946772095,0.304897790504172,0.0939821575399012,0.0,0.0711967349240892,0.0,0.0,0.125459938111669,0.0785352142452614,0.0,0.0650689351151769,0.0,0.0708439451659084,0.0
22,0.0,0.0945763657102563,0.389605176393598,0.0,0.0,0.0,0.377101172856989,0.0,0.0,0.0,0.0,0.0,0.0,0.138717285039156,0.0
23,0.0,0.0554745426922593,0.323133512859728,0.0,0.160197403814832,0.0,0.0614674659113549,0.0,0.0,0.0,0.0887391589788896,0.0,0.211130343400581,0.0998575723423552,0.0
24,0.0,0.0,0.55010762717965,0.0,0.0,0.0,0.0607960304531619,0.0,0.0,0.241729834413715,0.0,0.147366507953473,0.0,0.0,0.0
25,0.466465058155079,0.0,0.0,0.0,0.259160898997813,0.214597336997647,0.0,0.0,0.0,0.0,0.059776705849461,0.0,0.0,0.0,0.0
26,0.190785564988816,0.161395775346158,0.0,0.0,0.0890630752154433,0.0924246695174976,0.0,0.129744531774609,0.0592478108787162,0.277338572278761,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.618294420150302,0.0,0.100053928132504,0.0,0.0,0.0,0.0606059025779715,0.0661774694911735,0.0,0.0,0.0,0.0,0.15486827964805
28,0.108686363286913,0.0,0.304671618037237,0.0801159475106541,0.0,0.0,0.0,0.0,0.0,0.364119778668381,0.142406292496816,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.329990547635803,0.0868697073189391,0.0,0.0,0.0,0.0,0.243487090017894,0.339652655027364,0.0,0.0,0.0,0.0
30,0.0902903711202022,0.0724261396542338,0.193356994713764,0.0620236405752008,0.101970794065336,0.0632433140886695,0.0,0.0,0.0,0.232496395157673,0.184192350624921,0.0,0.0,0.0,0.0
31,0.066401614763168,0.142269978706794,0.252415915963508,0.208510813682025,0.0,0.156067410782816,0.0,0.0965811331627447,0.0,0.0,0.0777531329389442,0.0,0.0,0.0,0.0
32,0.0,0.126721442996742,0.227490613229511,0.0,0.0,0.293819495474793,0.1725999048869,0.0,0.0,0.179368543412054,0.0,0.0,0.0,0.0,0.0
33,0.0982878784527672,0.0,0.0,0.291703580539329,0.0,0.0925967522405526,0.0,0.0730268644347019,0.0,0.0,0.0,0.0,0.0633762281931845,0.200322527338371,0.180686168801093
34,0.0845529943989552,0.059532223766159,0.0,0.143381821352252,0.0549386158123092,0.120460623981399,0.158122902363481,0.101141550718289,0.0,0.0546866341129292,0.0,0.0,0.05988261723766,0.163300016256567,0.0
35,0.0,0.215197473413972,0.0,0.546147790233033,0.0,0.0695581518861302,0.0,0.087837731052895,0.0,0.0,0.0,0.0,0.0,0.0812588534139699,0.0
36,0.0,0.104076450059316,0.282529683880903,0.0,0.105813355650947,0.127974910365844,0.0,0.156880358715869,0.0,0.0,0.0,0.0,0.0,0.222725241327121,0.0
37,0.0,0.211367950708772,0.316479910826525,0.0,0.0,0.0916071004093136,0.0788966642050143,0.0,0.0,0.0569191615692138,0.244729212281161,0.0,0.0,0.0,0.0
38,0.154643264048063,0.0798163278636316,0.134839464769302,0.0,0.214470754200497,0.0,0.0,0.0,0.0640947210066538,0.288575264810521,0.0,0.0,0.063560203301332,0.0,0.0
