,ct_0,ct_1,ct_2,ct_3,ct_4,ct_5,ct_6,ct_7,ct_8,ct_9,ct_10,ct_11,ct_12,ct_13,ct_14,ct_15,ct_16,ct_17,ct_18,ct_19,ct_20,ct_21,ct_22,ct_23,ct_24,ct_25,ct_26,ct_27,ct_28,ct_29
0,0.0,0.0,0.0,0.340855498230144,0.22430546621668,0.0,0.0,0.16432035518501,0.205761765563238,0.0,0.0,0.0,0.0,0.0647569148049271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0849666533193278,0.151856982439687,0.166592540932249,0.0,0.311035667742871,0.0,0.204037937114911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0815102184509543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.149081751646689,0.0,0.0,0.0,0.098818858491641,0.0,0.0,0.0,0.0,0.0,0.0674206638076754,0.0,0.0,0.354891715696983,0.0,0.0,0.0,0.0,0.2513441451909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784428651661113
3,0.0,0.0,0.0,0.0705606305336749,0.0,0.301607133508026,0.0,0.0,0.307997118898056,0.0,0.0,0.116208304558776,0.203626812501467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.18910098643293,0.0,0.0,0.0751532254957702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184551618835747,0.0,0.116405044799356,0.0,0.0834748518246807,0.0,0.0,0.0,0.0703946168646125,0.0,0.0,0.0,0.0,0.0,0.0,0.0540546644428058,0.0,0.0,0.226864991304097
5,0.0,0.0710422295046829,0.208254995121464,0.0,0.0,0.0,0.110297475967976,0.344824181083474,0.0,0.0,0.0,0.0909461677897034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746349505327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.280999711726354,0.0,0.0,0.0,0.0,0.0,0.0,0.171662040471014,0.165107194103777,0.309680752034394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0725503016644615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.270655651153186,0.0,0.2123214039412,0.0,0.0674577250697787,0.0,0.0,0.0,0.0,0.076631614788995,0.0,0.143099529969156,0.0,0.0,0.229834075077685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.263383567372047,0.161394459925972,0.0,0.0,0.0,0.289110668797303,0.0,0.214491838644265,0.0,0.0,0.0,0.0,0.0,0.071619465260412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0818654750851948,0.0,0.0,0.0,0.0,0.173488584409953,0.0,0.0,0.371200699228169,0.0,0.0,0.0,0.081623152707105,0.0794059628862002,0.0776682883405208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134747837342857
10,0.0,0.0,0.0,0.0829301523711868,0.348844776310127,0.0,0.223232611651934,0.123397559418666,0.0,0.0,0.0,0.0,0.0,0.0660643871561899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155530513091895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.461719444698614,0.164930381989553,0.0,0.307923547098564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654266262132683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.121117040868333,0.17724534667466,0.211566886642122,0.0,0.490070725814885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.091689944118773,0.0,0.0,0.109999430383455,0.0848639206261305,0.297261728981491,0.0,0.281952230285076,0.0,0.0,0.134232745605075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.162047112134172,0.0,0.0997385864270115,0.0,0.0,0.0,0.354705047680122,0.0,0.125335858994114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177341533736671,0.0,0.0,0.0808318610279091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.499739616380834,0.0,0.12339014793545,0.0,0.291761136181268,0.0,0.0,0.0,0.0,0.0,0.0,0.0851090995024468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.162727437039649,0.0,0.100859013215161,0.138560388248639,0.118076842715513,0.0,0.0,0.210112303450796,0.0,0.0,0.0,0.0834644098522445,0.0,0.0,0.0,0.0,0.0948679861562682,0.0913316193217298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.260482027408625,0.198821812300852,0.0,0.0,0.217728471188562,0.0,0.0,0.138945271886548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184022417215414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.182859925828763,0.155868928861951,0.0,0.094365576801175,0.196382152468762,0.0,0.0,0.293511723435961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0770116926033883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
