,ct_0,ct_1,ct_2,ct_3,ct_4,ct_5,ct_6,ct_7,ct_8,ct_9
0,0.394695820837908,0.0874760166046712,0.0,0.0,0.0,0.177854914464174,0.0,0.339973248093247,0.0,0.0
1,0.45186510048334,0.286438101291899,0.0,0.0,0.0,0.0638630703007468,0.107880138947569,0.0899535889764457,0.0,0.0
2,0.0,0.191875287245956,0.0,0.108518193073903,0.114231564013363,0.299572278673686,0.2096409597194,0.0761617172736916,0.0,0.0
3,0.0,0.601540404378196,0.0,0.0,0.0,0.130305264327664,0.0,0.26815433129414,0.0,0.0
4,0.0,0.15982843737045,0.0,0.198545388097623,0.0,0.347549063204132,0.103454601342252,0.0,0.0,0.190622509985543
5,0.299049259310279,0.0576050056987087,0.140594498335481,0.0,0.174421021278899,0.0,0.105191146937167,0.106377665432295,0.116761403007171,0.0
6,0.0,0.179086459845756,0.0692514020968181,0.0,0.227597053988071,0.25072859055271,0.0,0.273336493516645,0.0,0.0
7,0.21106273397352,0.313486954137074,0.0,0.0715153905432064,0.0,0.0,0.233375479331388,0.0,0.170559442014812,0.0
8,0.22879308748658,0.241313066658759,0.0,0.0,0.22187683204453,0.0,0.128919772367523,0.179097241442608,0.0,0.0
9,0.0,0.391550509750538,0.0,0.139112484978547,0.0,0.247869312679756,0.0,0.131303129223119,0.0,0.0901645633680403
10,0.422871103629047,0.0,0.276148131564273,0.0,0.21566654485281,0.0,0.0,0.0853142199538695,0.0,0.0
11,0.264112066059869,0.0,0.0,0.0,0.442723204616898,0.293164729323233,0.0,0.0,0.0,0.0
12,0.0,0.523176885173006,0.0,0.0567228533303139,0.0,0.0539631243173347,0.0,0.366137137179346,0.0,0.0
13,0.351639284331935,0.321675884048815,0.0,0.0,0.0,0.0968242848003554,0.0,0.229860546818894,0.0,0.0
14,0.0,0.250229424368448,0.0,0.0,0.133343750504368,0.0871495719004293,0.320638735938877,0.148429668576385,0.060208848711493,0.0
15,0.1055425917892,0.568636310169898,0.0,0.0,0.0,0.0,0.149596970557096,0.0811894327225752,0.095034694761231,0.0
16,0.105741268144799,0.26953317886187,0.122025276061462,0.0701597311927351,0.119885343633169,0.0592766429347286,0.198990683661897,0.0543878755093388,0.0,0.0
17,0.0,0.0,0.262848581594749,0.0,0.164572158894828,0.0,0.265274638022083,0.307304621488341,0.0,0.0
18,0.0579031661402543,0.205856529226699,0.183382653662554,0.0,0.149176743112797,0.0671419507259053,0.125691990514744,0.145705613798328,0.0651413528187185,0.0
19,0.15706380320758,0.292753073667634,0.0,0.0,0.242466216002477,0.0,0.248889900208513,0.0588270069137959,0.0,0.0
20,0.109133620725729,0.0,0.177763066982862,0.136376221570283,0.0,0.0,0.2013649392096,0.270075710478903,0.105286441032624,0.0
21,0.07831330035397,0.34357577293079,0.0,0.190849352207566,0.110998060545029,0.0779605477713416,0.0885432065012231,0.109759759690081,0.0,0.0
22,0.126012421011595,0.376327255147784,0.0,0.0,0.35965591315744,0.0,0.0,0.138004410683182,0.0,0.0
23,0.0,0.294078147451935,0.165565163801856,0.0564656522161582,0.127000602310843,0.0582072251113715,0.0,0.0653676692450805,0.0806773624921663,0.15263817737059
24,0.316473770699482,0.683526229300518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.28878791980527,0.0,0.0,0.419819305055613,0.225168944104703,0.0,0.0662238310344143,0.0
26,0.288307722264515,0.0,0.0939835124586359,0.0912963337920935,0.0,0.16866612003187,0.102243153279818,0.255503158173068,0.0,0.0
